id,t1_lineup,t2_lineup,t1_score,t2_score,date,map,tourney
95621,11916-4076-5479-695-7248,11816-2730-429-8574-9960,11,16,2019-11-24 13:30,Inferno,4680
92597,10671-11219-8507-8523-9136,13497-284-4959-7167-9616,16,7,2019-09-28 22:50,Nuke,4597
93478,10394-7687-8520-8738-8797,11064-11586-3886-8517-9884,16,3,2019-10-16 04:00,Inferno,4698
93140,13361-9255-9257-9277-9279,1045-11777-1378-6904-7218,16,12,2019-10-09 17:25,Dust2,4942
89268,10671-11219-8507-8523-9136,10818-11163-17585-2529-555,16,5,2019-07-17 08:15,Inferno,4446
75725,2757-3741-429-8183-885,4954-7398-7412-7592-9032,14,16,2018-10-19 18:35,Overpass,4071
93775,11110-13666-3055-3849-7528,10818-10842-11213-14780-15698,16,14,2019-10-21 09:25,Inferno,4932
87065,10394-7687-8520-8738-8797,11916-4076-695-7248-9816,16,13,2019-06-02 18:00,Inferno,4177
99106,11257-13749-17956-3820-9895,12731-14273-18317-7716-8789,16,14,2020-02-19 18:00,Vertigo,5150
86245,10052-11716-11942-13239-13776,11816-2730-429-8574-9960,16,9,2019-05-21 15:10,Mirage,4416
90001,11716-11942-13239-13776-334,15071-16415-16555-16920-16921,16,19,2019-08-04 18:05,Inferno,4778
84528,10394-7687-8520-8738-8797,11231-11586-13188-14619-5021,16,4,2019-04-17 00:25,Overpass,4338
70035,4954-7398-7412-7592-9032,483-484-7594-7998-8918,13,16,2018-07-07 13:00,Inferno,3392
94903,11926-12269-13976-13980-16384,11716-11942-13239-13776-334,11,16,2019-11-11 20:40,Overpass,4736
92703,11815-12708-14007-17147-18120,11716-11942-13239-13776-334,12,16,2019-09-30 18:05,Inferno,4922
100109,12731-14273-18317-7716-8789,11287-15428-15940-2826-9798,16,3,2020-03-10 15:05,Inferno,5150
99770,11654-12732-12733-13157-8726,11498-13780-13915-7403-7796,16,13,2020-03-06 19:15,Inferno,5109
98146,11140-11162-11485-9102-9115,12781-5794-5796-7266-7938,12,16,2020-01-26 15:35,Dust2,4868
95944,10660-11694-16734-19410-9276,11654-12732-12733-13157-8726,12,16,2019-11-30 09:00,Nuke,4313
83303,4954-7398-7412-7592-9032,10394-7687-8520-8738-8797,16,2,2019-03-23 21:15,Overpass,4326
97017,13396-7821-8576-9271-9819,10470-12113-13278-6451-8707,17,19,2019-12-15 20:15,Dust2,5023
95994,1045-11777-1378-6904-7218,11654-12732-12733-13157-8726,13,16,2019-12-01 09:00,Nuke,4313
90797,10394-7687-8520-8738-8797,11716-11942-13239-13776-334,18,22,2019-08-30 11:05,Overpass,4443
85198,11188-12314-4637-9172-9174,10588-4679-8082-8248-9686,13,16,2019-04-30 03:20,Inferno,4236
86850,11654-12732-12733-13157-8726,11891-14221-8327-8570-973,11,16,2019-05-30 13:00,Mirage,4501
92143,13396-7821-8576-9271-9819,11498-13915-7403-7796-8459,16,7,2019-09-22 10:05,Dust2,4913
92504,10264-12018-2469-7156-9078,4954-7398-7412-7592-9032,7,16,2019-09-27 22:40,Dust2,4597
93802,11110-13666-3055-3849-7528,10588-4679-8082-8248-9686,13,16,2019-10-21 19:00,Inferno,4932
76628,10569-13042-7982-8184-9616,4954-7398-7412-7592-9032,19,22,2018-11-01 21:10,Overpass,4071
94743,11842-11940-15117-16612-16947,11654-12732-12733-13157-8726,5,16,2019-11-08 14:00,Dust2,4492
93845,10569-13138-13497-4959-8138,10330-14148-14419-7415-9612,6,16,2019-10-22 16:00,Train,4736
90209,11716-11942-13239-13776-334,11926-12269-13976-13980-3410,16,11,2019-08-11 18:10,Overpass,4700
97581,10994-7964-8611-922-9896,15697-16847-8327-8539-8570,5,16,2020-01-09 21:05,Vertigo,5110
95923,11716-11942-13239-13776-334,14218-29-7443-9261-9278,6,16,2019-11-29 15:05,Overpass,4926
95105,13396-7821-8576-9271-9819,15180-15718-17942-9818-9820,16,10,2019-11-15 14:00,Dust2,5016
96766,11891-15204-2553-7356-9574,10449-10981-7168-9031-9816,17,19,2019-12-13 18:25,Train,4998
99586,12731-14273-18317-7716-8789,12572-15639-9277-9279-9811,19,16,2020-03-04 18:10,Dust2,5150
96292,11840-2757-7594-7998-8918,11110-13666-3055-3849-7528,6,16,2019-12-07 15:00,Overpass,4697
97535,1045-11777-1378-6904-7218,13396-7821-8576-9271-9819,16,10,2020-01-08 14:00,Train,4492
80451,10588-4679-8082-8248-9686,11141-11485-12591-12876-9115,16,13,2019-01-25 11:10,Cache,4207
94430,4954-7398-7412-7592-9032,11231-8370-8521-8735-9056,16,3,2019-11-02 15:45,Nuke,4702
97973,10994-7964-8611-922-9896,11654-12732-12733-13157-8726,4,16,2020-01-19 18:10,Nuke,5161
92846,11816-2730-429-8574-9960,10264-12018-2469-7156-9078,16,13,2019-10-03 10:00,Nuke,4553
90854,165-2757-3741-8183-885,10588-4679-8082-8248-9686,14,16,2019-08-31 13:25,Vertigo,4443
95312,12521-12553-12822-15631-8565,10892-12271-15007-7808-9875,8,16,2019-11-18 01:25,Vertigo,4698
98461,11840-16947-7594-7998-8918,4954-7398-7412-7592-9032,16,14,2020-02-08 15:30,Inferno,5138
81012,10449-339-8528-8574-8716,11654-12732-12733-13157-8726,16,12,2019-02-06 14:05,Train,4353
82640,11498-13479-14055-7797-9669,11654-12732-12733-13157-8726,9,16,2019-03-12 12:05,Train,4395
98204,12126-14614-15165-7805-9078,15118-15577-18137-8426-866,16,6,2020-01-31 23:10,Dust2,5131
92975,10330-14148-14419-7415-9612,16080-161-2826-5388-8323,16,12,2019-10-05 12:00,Overpass,4940
96090,10774-7028-7131-8552-8605,18053-3741-8183-885-9216,7,16,2019-12-03 16:00,Mirage,4697
90213,13281-16612-2131-483-8459,11716-11942-13239-13776-334,8,16,2019-08-11 20:35,Dust2,4700
94747,11716-11942-13239-13776-334,10569-13138-13497-4959-8138,16,12,2019-11-08 15:00,Dust2,4736
88664,11654-12732-12733-13157-8726,16080-161-2826-5388-8323,16,14,2019-07-01 12:30,Nuke,4684
72971,10263-5187-7026-7131-8605,4954-7398-7412-7592-9032,5,16,2018-08-31 08:00,Dust2,3389
84365,2023-8564-9216-9217-9219,10394-7687-8520-8738-8797,10,16,2019-04-13 19:05,Overpass,4327
98099,2469-7156-8095-8394-8875,10330-14148-14419-7415-9612,10,16,2020-01-24 17:55,Mirage,4868
91934,13497-284-4959-7167-9616,11654-12732-12733-13157-8726,14,16,2019-09-20 11:05,Overpass,4832
73380,2644-7964-8745-9258-9260,4954-7398-7412-7592-9032,13,16,2018-09-06 15:25,Inferno,3885
92439,1045-11777-1378-6904-7218,12699-3669-8242-8321-9916,16,5,2019-09-26 17:50,Overpass,4826
82786,11654-12732-12733-13157-8726,10463-12572-9277-9279-9811,16,7,2019-03-14 15:05,Inferno,4287
63417,13666-7443-9256-9257-9766,4954-7398-7412-7592-9032,2,16,2018-03-22 19:25,Mirage,3601
98274,12781-5794-5796-7266-7938,11815-14007-17147-18120-7429,16,9,2020-02-01 19:10,Nuke,5131
75473,4954-7398-7412-7592-9032,1225-7166-7167-7170-8374,16,2,2018-10-16 20:05,Mirage,4071
97067,11654-12732-12733-13157-8726,10671-11219-8507-8523-9348,4,16,2019-12-18 10:00,Nuke,4979
99096,13396-7821-8576-9271-9819,11498-13780-13915-7403-7796,10,16,2020-02-19 16:00,Mirage,5150
93223,13396-7821-8576-9271-9819,11217-13018-17147-7996-9019,16,8,2019-10-11 14:30,Train,4862
83718,2757-334-3741-8183-885,10588-4679-8082-8248-9686,13,16,2019-04-01 12:00,Inferno,4240
74890,11816-2553-2730-5479-798,4954-7398-7412-7592-9032,13,16,2018-10-05 15:00,Train,3374
94170,11891-15204-2553-7356-9574,18053-3741-8183-885-9216,16,10,2019-10-29 19:00,Train,4925
88357,11816-2730-429-8574-9960,10394-7687-8520-8738-8797,17,19,2019-06-22 17:10,Nuke,4490
96176,12731-14273-18317-7716-8789,13396-7821-8576-9271-9819,16,13,2019-12-05 16:00,Dust2,4492
97882,14055-16948-1950-303-8124,13396-7821-8576-9271-9819,13,16,2020-01-17 23:05,Nuke,5160
98169,10784-1146-9255-9257-9766,13396-7821-8576-9271-9819,16,11,2020-01-28 15:20,Nuke,5179
91960,11654-12732-12733-13157-8726,11816-2730-429-8574-9960,10,16,2019-09-20 18:10,Dust2,4832
95700,11891-15204-2553-7356-9574,1045-11777-1378-6904-7218,16,9,2019-11-25 18:05,Overpass,4945
81670,4954-7398-7412-7592-9032,203-7810-7873-8507-8745,16,6,2019-02-20 15:55,Nuke,3883
93523,10671-11219-8507-8523-9136,14614-15165-7805-7810-7873,16,5,2019-10-16 21:25,Inferno,4919
95542,11654-12732-12733-13157-8726,14175-16871-17008-18225-18987,19,16,2019-11-23 08:00,Dust2,4981
93060,10994-7964-8611-922-9896,10330-14148-14419-7415-9612,16,6,2019-10-06 16:00,Overpass,4931
66681,4954-7398-7412-7592-9032,334-339-735-8528-964,16,6,2018-05-10 17:00,Overpass,3601
91239,13396-7821-8576-9271-9819,10443-11995-13300-8151-8891,14,16,2019-09-11 10:30,Inferno,4862
84390,10394-7687-8520-8738-8797,2757-334-3741-8183-885,12,16,2019-04-13 21:25,Dust2,4327
98248,10994-7964-8611-922-9896,11716-11942-13239-13776-334,14,16,2020-02-01 12:50,Vertigo,5147
77007,4954-7398-7412-7592-9032,7964-8095-8394-8875-9031,16,4,2018-11-06 23:20,Nuke,3954
81761,10394-7687-8520-8738-8797,483-484-7594-7998-8918,16,9,2019-02-21 18:30,Dust2,3883
76997,11654-12732-12733-13157-8726,10096-10443-13300-14419-9295,16,9,2018-11-06 19:20,Train,4172
66451,2757-3741-429-8183-884,4954-7398-7412-7592-9032,16,14,2018-05-06 05:10,Train,3530
84011,11654-12732-12733-13157-8726,14218-15096-3847-41-9256,16,9,2019-04-08 14:00,Inferno,4433
93900,10569-13138-13497-4959-8138,13396-7821-8576-9271-9819,12,16,2019-10-23 17:35,Dust2,4944
76076,4954-7398-7412-7592-9032,13666-3849-7443-7528-884,16,1,2018-10-23 17:20,Dust2,4071
93844,12731-14273-18317-7716-8789,15835-17024-9352-9353-9857,16,10,2019-10-22 15:00,Inferno,4736
94847,10463-13361-9257-9277-9279,11654-12732-12733-13157-8726,19,17,2019-11-10 16:00,Inferno,4736
99268,4954-7398-7412-7592-9032,11630-12713-13230-13249-8711,16,12,2020-02-24 11:00,Train,4901
82283,11654-12732-12733-13157-8726,3997-7388-8370-8371-9254,16,10,2019-03-06 17:00,Nuke,4423
74420,4954-7398-7412-7592-9032,11110-3055-7440-7805-8735,16,7,2018-09-29 11:00,Inferno,3647
98281,11840-16947-7594-7998-8918,1045-11777-1378-6904-7218,16,13,2020-02-01 18:05,Train,5147
76528,4954-7398-7412-7592-9032,7964-8095-8394-8875-9031,16,13,2018-10-31 22:10,Overpass,3374
92366,13396-7821-8576-9271-9819,14087-15563-7537-9325-971,15,19,2019-09-25 18:10,Nuke,4909
91916,11630-12713-13230-13249-8711,10560-10566-11739-9218-9483,16,10,2019-09-20 00:05,Overpass,4737
63709,1146-29-39-9255-9278,4954-7398-7412-7592-9032,11,16,2018-03-25 20:25,Inferno,3601
74658,11064-11586-12271-13273-8517,10588-4679-8082-8248-9686,3,16,2018-10-02 22:45,Inferno,3375
85377,10394-7687-8520-8738-8797,2023-8564-9216-9217-9219,19,15,2019-05-04 05:00,Nuke,4236
75537,10449-2131-339-8574-8716,4954-7398-7412-7592-9032,7,16,2018-10-17 17:15,Train,3374
90064,11654-12732-12733-13157-8726,10264-12018-2469-7156-9078,3,16,2019-08-07 17:50,Overpass,4773
95253,10330-14148-14419-7415-9612,10784-13670-9255-9257-9766,16,10,2019-11-17 11:00,Train,5013
94113,11271-5794-5796-7256-7938,11110-13666-3055-3849-7528,11,16,2019-10-28 19:10,Train,4925
94656,12731-14273-18317-7716-8789,10761-13018-17147-7996-9019,16,10,2019-11-06 18:55,Mirage,4736
96220,11926-12269-13976-13980-16384,1045-11777-1378-6904-7218,9,16,2019-12-06 14:00,Dust2,4492
76531,10588-4679-8082-8248-9686,2644-7156-8745-9258-9260,5,16,2018-10-31 23:40,Inferno,4072
82396,11217-12781-18053-7996-9019,11654-12732-12733-13157-8726,11,16,2019-03-07 15:05,Inferno,4287
94203,15697-16847-8327-8539-8570,11654-12732-12733-13157-8726,5,16,2019-10-30 18:10,Dust2,4736
93946,12731-14273-18317-7716-8789,15697-16847-8327-8539-8570,12,16,2019-10-24 15:05,Mirage,4736
93885,11110-13666-3055-3849-7528,11816-2730-429-8574-9960,16,12,2019-10-23 12:15,Inferno,4932
96126,4954-7398-7412-7592-9032,284-3972-7167-9616-9618,16,14,2019-12-04 13:25,Train,4697
92746,13396-7821-8576-9271-9819,11498-13780-13915-7403-7796,16,9,2019-10-01 16:00,Train,4736
94189,11891-15204-2553-7356-9574,1045-11777-1378-6904-7218,17,19,2019-10-30 10:05,Inferno,4980
93063,10330-14148-14419-7415-9612,10761-11217-13018-7996-9019,16,6,2019-10-06 19:30,Mirage,4940
96180,11630-12713-13230-13249-8711,11816-2730-429-8574-9960,6,16,2019-12-05 17:30,Dust2,4697
92493,13396-7821-8576-9271-9819,14161-15374-17293-17305-17306,16,6,2019-09-27 18:00,Vertigo,4492
95345,12521-12553-12822-15631-8565,10588-4679-8082-8248-9686,11,16,2019-11-19 01:25,Inferno,4698
76639,10588-4679-8082-8248-9686,10394-7687-8520-8738-9217,19,16,2018-11-01 22:25,Inferno,4072
92150,11701-12126-2799-8575-9656,1045-11777-1378-6904-7218,16,10,2019-09-22 10:00,Dust2,4826
93243,10671-11219-8507-8523-9136,10892-12089-15007-7808-9875,16,9,2019-10-12 00:25,Dust2,4698
92875,12521-12553-12822-15631-8565,11110-13666-3055-3849-7528,5,16,2019-10-03 12:50,Inferno,4553
78073,10588-4679-8082-8248-9686,10666-10705-9287-9289-9304,16,11,2018-11-22 08:20,Train,4009
81682,11654-12732-12733-13157-8726,13170-14085-7414-7463-7828,16,13,2019-02-20 18:20,Nuke,4395
77857,10588-4679-8082-8248-9686,11492-12083-12593-14294-16529,16,3,2018-11-18 00:00,Inferno,4141
76545,10588-4679-8082-8248-9686,10560-7382-8565-8566-9482,16,8,2018-11-01 01:25,Inferno,4072
91181,1045-11777-1378-6904-7218,14087-15563-7537-9325-971,16,11,2019-09-10 10:55,Overpass,4862
93925,11893-1225-7169-7322-8184,10588-4679-8082-8248-9686,12,16,2019-10-24 09:00,Nuke,4932
91902,11654-12732-12733-13157-8726,10761-11217-7834-7996-9019,16,2,2019-09-19 15:10,Mirage,4832
93571,284-3972-7167-9616-9618,11701-12126-2799-8575-9656,16,13,2019-10-17 20:00,Nuke,4699
64423,4954-7398-7412-7592-9032,11278-11891-8327-8570-9574,10,16,2018-04-03 17:15,Overpass,3361
88149,8095-8394-8783-8875-9031,10394-7687-8520-8738-8797,16,13,2019-06-18 12:20,Dust2,4490
70548,4954-7398-7412-7592-9032,11110-6904-7440-7805-8735,16,9,2018-07-21 18:30,Overpass,3515
91204,11630-12713-13230-13249-8711,11948-12710-13585-17471-9661,16,6,2019-09-11 00:10,Inferno,4881
94736,10671-11219-8507-8523-9136,18053-3741-8183-885-9216,16,19,2019-11-08 09:05,Dust2,4837
74724,11271-136-5794-5796-7256,4954-7398-7412-7592-9032,9,16,2018-10-03 19:40,Train,3374
96108,11110-13666-3055-3849-7528,10994-7964-8611-922-9896,16,13,2019-12-03 19:15,Overpass,4697
94150,11926-12269-13976-13980-16384,11716-11942-13239-13776-334,0,16,2019-10-29 16:00,Dust2,4736
99900,1045-11777-1378-6904-7218,10096-10610-12018-13300-8891,16,13,2020-03-07 14:45,Vertigo,5135
90644,10671-11219-8507-8523-9136,10774-7028-7131-8552-8605,16,7,2019-08-23 18:35,Train,4450
96127,18053-3741-8183-885-9216,10588-4679-8082-8248-9686,7,16,2019-12-04 14:20,Mirage,4697
92127,11816-2730-429-8574-9960,11891-15204-2553-7356-9574,14,16,2019-09-22 09:00,Inferno,4828
79387,4954-7398-7412-7592-9032,483-484-7594-7998-8918,16,9,2018-12-14 20:30,Inferno,4205
95916,11654-12732-12733-13157-8726,10330-14148-14419-7415-9612,10,16,2019-11-29 13:45,Overpass,4313
99987,15180-15718-17942-9818-9820,10449-10981-7168-9031-9816,14,16,2020-03-08 14:00,Inferno,5135
86019,11250-11498-11515-13915-9349,11654-12732-12733-13157-8726,4,16,2019-05-16 16:00,Nuke,4501
86475,11916-4076-695-7248-9816,10394-7687-8520-8738-8797,3,16,2019-05-24 19:40,Dust2,4566
86556,10588-11271-4679-8082-8248,10394-7687-8520-8738-8797,11,16,2019-05-26 00:00,Dust2,4566
97128,12731-14273-18317-7716-8789,11271-5794-5796-7256-7938,19,15,2019-12-20 12:00,Mirage,4958
96858,4954-7398-7412-7592-9032,10394-7687-8520-8738-8797,16,12,2019-12-14 17:00,Nuke,4889
93510,11926-12269-13976-13980-16384,11283-11343-12030-2476-4216,14,16,2019-10-16 17:05,Mirage,4736
99930,11630-12713-13230-13249-8711,11947-11948-12710-13585-17471,16,11,2020-03-07 20:05,Overpass,5178
77030,10569-13042-7982-8184-9616,10588-4679-8082-8248-9686,16,2,2018-11-07 02:20,Mirage,3954
98706,12731-14273-18317-7716-8789,11199-12810-13566-15821-8488,16,6,2020-02-14 20:15,Vertigo,5211
92760,12088-14365-8522-9043-9069,12521-12553-12822-15631-8565,9,16,2019-10-01 15:55,Mirage,4553
96929,10449-10981-7168-9031-9816,12521-12553-12822-15631-6547,16,14,2019-12-15 00:15,Overpass,4998
89520,10394-7687-8520-8738-8797,11893-7168-7169-7322-8184,16,9,2019-07-20 23:10,Overpass,4574
100050,12781-5794-5796-7266-7938,10784-1146-9255-9257-9766,11,16,2020-03-09 14:00,Mirage,5150
88674,11840-484-7594-7998-8918,11816-2730-429-8574-9960,16,14,2019-07-02 10:05,Train,4281
94956,11283-11343-12030-2476-4216,11498-13780-13915-7403-7796,16,11,2019-11-12 17:10,Dust2,4736
81049,11283-12030-3972-4216-9618,11654-12732-12733-13157-8726,9,16,2019-02-06 20:00,Train,4353
94850,1045-11777-1378-6904-7218,11271-5794-5796-7256-7938,5,16,2019-11-10 16:00,Nuke,4945
91050,10330-14148-14419-7415-9612,11897-13669-14526-15949-19410,16,7,2019-09-07 14:55,Train,4874
99208,13042-147-19890-8047-9656,13396-7821-8576-9271-9819,13,16,2020-02-22 17:30,Dust2,5224
94714,3997-4373-7382-8371-9254,11654-12732-12733-13157-8726,16,11,2019-11-07 16:35,Inferno,4736
95932,14087-15563-7537-9325-971,1045-11777-1378-6904-7218,11,16,2019-11-29 18:05,Nuke,4313
61286,4954-7398-7412-7592-9032,10264-1485-545-8783-922,10,16,2018-02-15 18:15,Nuke,3361
92479,13396-7821-8576-9271-9819,11287-15428-15900-15940-9798,16,13,2019-09-27 13:45,Vertigo,4862
65903,1146-29-39-9255-9278,4954-7398-7412-7592-9032,16,8,2018-04-26 18:15,Mirage,3361
99350,10394-7687-8520-8738-8797,10671-11219-8507-8523-9136,16,10,2020-02-26 18:40,Inferno,4901
65768,7167-7168-7322-8370-8374,4954-7398-7412-7592-9032,20,22,2018-04-24 18:30,Mirage,3601
93867,11133-11580-12490-14140-16872,11816-2730-429-8574-9960,14,16,2019-10-23 07:00,Train,4932
85730,4954-7398-7412-7592-9032,483-484-7594-7998-8918,16,13,2019-05-11 13:00,Dust2,4328
88280,165-2757-3741-8183-885,11816-2730-429-8574-9960,8,16,2019-06-20 17:00,Vertigo,4490
96902,10449-10981-7168-9031-9816,14737-2023-5736-8564-9217,16,7,2019-12-14 22:00,Mirage,4998
97569,284-3972-7167-9616-9618,15697-16847-8327-8539-8570,16,10,2020-01-09 17:00,Dust2,5110
87940,11654-12732-12733-13157-8726,1225-13497-284-7167-9616,16,12,2019-06-14 15:00,Overpass,4632
88836,11893-7168-7169-7322-8184,10394-7687-8520-8738-8797,8,16,2019-07-07 14:05,Mirage,4281
98996,11995-12018-13300-8151-8891,12731-14273-18317-7716-8789,4,16,2020-02-16 17:35,Mirage,5211
94651,12731-14273-18317-7716-8789,11716-11942-13239-13776-334,16,14,2019-11-06 17:25,Mirage,4736
93412,11110-13666-3055-3849-7528,2469-8095-8394-8783-8875,16,11,2019-10-14 20:00,Inferno,4699
99256,12521-12553-12822-15631-8565,12126-14614-15165-7805-9078,16,14,2020-02-23 21:50,Nuke,4869
91446,14218-29-39-9261-9278,11716-11942-13239-13776-334,16,12,2019-09-13 17:45,Overpass,4686
99837,10774-11188-7028-8552-8605,12607-16551-16552-18744-19885,16,8,2020-03-07 07:00,Overpass,5196
74994,10588-4679-8082-8248-9686,10168-15419-180-7016-839,13,16,2018-10-07 08:05,Inferno,3891
76758,483-484-7594-7998-8918,4954-7398-7412-7592-9032,16,9,2018-11-03 13:00,Overpass,3701
97711,11064-11586-13188-3886-8517,12126-14614-15165-7805-9078,5,16,2020-01-12 17:00,Overpass,5159
91732,11630-12713-13230-13249-8711,13381-18519-8347-8503-8752,16,4,2019-09-17 01:10,Overpass,4737
94683,18053-3741-8183-885-9216,10671-11219-8507-8523-9136,16,6,2019-11-07 06:55,Dust2,4837
96513,10994-7964-8611-922-9896,12161-13240-13281-2131-8528,19,17,2019-12-10 23:00,Vertigo,5105
76731,10588-4679-8082-8248-9686,11238-13229-13578-14619-8508,16,7,2018-11-03 00:00,Cache,4072
95506,10394-7687-8520-8738-8797,8095-8394-8783-8875-9031,16,12,2019-05-28 22:45,Mirage,4177
97748,11630-12713-13230-13249-8711,10892-14619-15007-7808-9875,16,10,2020-01-12 23:05,Inferno,5159
99221,11916-4076-5479-695-7248,14737-2023-5736-8564-9217,11,16,2020-02-22 23:35,Overpass,4869
97604,11916-4076-5479-695-7248,10330-14148-14419-7415-9612,10,16,2020-01-10 21:30,Mirage,5110
97539,10330-14148-14419-7415-9612,13148-14602-16462-8837-9298,16,4,2020-01-08 19:00,Overpass,5149
83169,4954-7398-7412-7592-9032,10394-7687-8520-8738-8797,16,13,2019-03-22 22:10,Dust2,4326
82576,10394-7687-8520-8738-8797,10264-2644-7156-9258-9260,8,16,2019-03-11 22:05,Overpass,4418
85801,11654-12732-12733-13157-8726,10784-14218-9255-9256-9257,14,16,2019-05-12 16:55,Inferno,4605
85824,1225-13497-284-7167-9616,11816-2730-429-8574-9960,7,16,2019-05-13 18:50,Dust2,4415
64905,4954-7398-7412-7592-9032,150-7938-8575-9353-9857,16,4,2018-04-10 16:10,Inferno,3361
94750,10784-1146-12572-13670-9766,11283-11343-12030-2476-4216,16,19,2019-11-08 16:30,Dust2,4736
61733,483-484-7594-7998-8918,4954-7398-7412-7592-9032,16,5,2018-02-23 17:45,Train,3486
94163,5386-8538-8575-8994-9895,1045-11777-1378-6904-7218,4,16,2019-10-29 15:35,Dust2,4994
92766,10330-14148-14419-7415-9612,11891-15204-2553-7356-9574,11,16,2019-10-01 18:00,Mirage,4922
94156,10569-13138-13497-4959-8138,11283-11343-12030-2476-4216,16,12,2019-10-29 17:00,Nuke,4736
93390,13361-9255-9257-9277-9279,11283-11343-12030-2476-4216,8,16,2019-10-14 15:00,Dust2,4736
96696,10449-10981-7168-9031-9816,11816-2730-429-9294-9960,14,16,2019-12-12 18:05,Dust2,4998
92801,284-3972-7167-9616-9618,11110-13666-3055-3849-7528,5,16,2019-10-02 15:45,Train,4553
90761,10394-7687-8520-8738-8797,11283-12030-3972-4216-9618,16,9,2019-08-28 13:55,Mirage,4443
93527,10394-7687-8520-8738-8797,10588-4679-8082-8248-9686,16,12,2019-10-17 00:25,Inferno,4698
74760,10588-4679-8082-8248-9686,2644-7218-8745-9258-9260,16,10,2018-10-04 04:55,Mirage,3375
78098,4954-7398-7412-7592-9032,3055-4959-7805-8516-8735,16,3,2018-11-22 15:35,Inferno,4083
99901,13670-14218-7443-9261-9278,13148-14602-16462-8837-9298,16,14,2020-03-07 14:00,Vertigo,5135
97154,12161-13240-13281-2131-8528,13396-7821-8576-9271-9819,16,11,2019-12-21 11:30,Dust2,5019
93300,10671-11219-8507-8523-9136,14614-15165-7805-7810-7873,16,11,2019-10-13 00:25,Dust2,4698
89625,11654-12732-12733-13157-8726,11842-11940-15117-16947-9382,16,9,2019-07-24 14:00,Mirage,4447
85247,11816-2730-429-8574-9960,10588-4679-8082-8248-9686,16,7,2019-05-01 05:55,Inferno,4236
94282,12731-14273-18317-7716-8789,10569-13138-13497-4959-8138,16,10,2019-10-31 18:30,Dust2,4826
82018,11654-12732-12733-13157-8726,16080-161-2826-5388-8323,16,3,2019-02-27 20:10,Dust2,4432
